sub,date,MOs,IRN,MY,XII,VII,GRN,MARN,PARN,LRN
456773,20191002,111.0,175.0,69.0,0.0,50.0,124.0,55.0,43.0,0.0
456773,20191003,33.0,58.0,53.0,0.0,0.0,242.0,151.0,0.0,0.0
456773,20191004,125.0,295.0,62.0,0.0,0.0,175.0,4.0,23.0,0.0
456773,20191005,149.0,63.0,77.0,0.0,59.0,123.0,56.0,36.0,0.0
460432,20191220,58.0,0.0,72.0,0.0,0.0,42.0,34.0,0.0,0.0
460436,20200107,212.0,0.0,45.0,0.0,0.0,25.0,58.0,0.0,0.0
460436,20200108,47.0,0.0,85.0,0.0,0.0,103.0,37.0,0.0,0.0
460436,20200109,213.0,0.0,43.0,0.0,0.0,179.0,10.0,0.0,0.0
460436,20200110,119.0,0.0,4.0,0.0,0.0,180.0,0.0,0.0,0.0
479121,20200923,293.0,33.0,184.0,19.0,0.0,0.0,0.0,101.0,22.0
479121,20200924,164.0,222.0,112.0,0.0,0.0,0.0,0.0,262.0,36.0
484676,20210413,161.0,9.0,3.0,0.0,0.0,0.0,0.0,73.0,0.0
484676,20210414,151.0,0.0,23.0,0.0,0.0,0.0,0.0,50.0,0.0
484676,20210415,170.0,0.0,5.0,0.0,27.0,0.0,0.0,32.0,0.0
484676,20210416,249.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0
484676,20210419,110.0,70.0,75.0,0.0,11.0,0.0,0.0,22.0,0.0
484676,20210420,155.0,38.0,37.0,0.0,24.0,0.0,0.0,61.0,0.0
484676,20210421,200.0,0.0,75.0,0.0,105.0,0.0,0.0,50.0,0.0
484677,20210413,47.0,88.0,79.0,0.0,45.0,0.0,0.0,28.0,0.0
484677,20210418,102.0,0.0,29.0,0.0,3.0,72.0,0.0,46.0,0.0
484677,20210420,80.0,140.0,1.0,0.0,0.0,7.0,0.0,36.0,0.0
